id,title,slug,location,area,price,type,availability,furnishing,suitable_for,description,amenities,image_urls,seo_area,whatsapp_number,is_active
11,Private Room with Balcony,private-room-with-balcony-madina-khalifa-doha,"Madinat Khalifa, Doha",Near community market,2700,Private Room,Immediate,Furnished,Professionals,"Quiet private room with balcony access, split AC, and a clean shared apartment setup.","Balcony|Split AC|Wi-Fi|Shared Kitchen","https://images.unsplash.com/photo-1505693416388-ac5ce068fe85?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1494526585095-c41746248156?auto=format&fit=crop&w=900&q=80|https://images.unsplash.com/photo-1484154218962-a197022b5858?auto=format&fit=crop&w=900&q=80",private room in Madinat Khalifa Doha,97455512345,true
12,Affordable Bed Space,affordable-bed-space-mushaireb-doha,"Mushaireb, Doha",Near downtown tram,1200,Shared Room,Immediate,Furnished,Bachelors,"Budget bed space option in central Doha with transport links and food options nearby.","Bed Space|Wi-Fi|AC|Shared Bath","https://images.unsplash.com/photo-1484154218962-a197022b5858?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1505693416388-ac5ce068fe85?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1494526585095-c41746248156?auto=format&fit=crop&w=1200&q=80",bed space in Mushaireb Doha,97455512345,true
13,Waterfront 1BHK,waterfront-1bhk-lusail-doha,"Lusail, Doha",Fox Hills district,5900,1BHK,Immediate,Semi Furnished,Couples and Professionals,"Bright 1BHK in Lusail with balcony, open-plan kitchen, and easy access to new retail areas.","Balcony|Parking|Built-in Wardrobes|Security","https://images.unsplash.com/photo-1460317442991-0ec209397118?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1494526585095-c41746248156?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?auto=format&fit=crop&w=1200&q=80",1BHK in Lusail Fox Hills,97455512345,true
14,Simple Room Near Metro,simple-room-near-metro-al-sadd-doha,"Al Sadd, Doha",Near metro and supermarkets,2200,Single Room,This Week,Furnished,Staff and Professionals,"Simple private room with reliable AC, internet, and fast access to everyday essentials.","AC|Internet|Wardrobe|Nearby Metro","https://images.unsplash.com/photo-1505693416388-ac5ce068fe85?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1484154218962-a197022b5858?auto=format&fit=crop&w=900&q=80|https://images.unsplash.com/photo-1494526585095-c41746248156?auto=format&fit=crop&w=900&q=80",simple room in Al Sadd Doha,97455512345,true
15,City View Studio,city-view-studio-west-bay-doha,"West Bay, Doha",Near conference center,4700,Studio,Immediate,Fully Furnished,Executives,"Stylish studio with city views, integrated appliances, and smooth access to West Bay offices.","City View|Furnished|Gym|Security","https://images.unsplash.com/photo-1494526585095-c41746248156?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1460317442991-0ec209397118?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?auto=format&fit=crop&w=1200&q=80",studio in West Bay Doha,97455512345,true
16,Spacious Family Flat,spacious-family-flat-abu-hamour-doha,"Abu Hamour, Doha",Near wholesale market road,7200,3BHK,Next Month,Semi Furnished,Families,"Well-sized family flat with maid room option, parking, and practical connectivity for schools and shopping.","Parking|Lift|Maid Room|Family Building","https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1460317442991-0ec209397118?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1494526585095-c41746248156?auto=format&fit=crop&w=1200&q=80",family flat in Abu Hamour Doha,97455512345,true
17,Shared Room for Staff,shared-room-for-staff-industrial-area-doha,"Industrial Area, Doha",Near transport pickup point,1100,Shared Room,Immediate,Furnished,Staff,"Basic staff accommodation with bunk setup, AC, and shared facilities in a budget-friendly location.","Bunk Bed|AC|Shared Bath|Transport Access","https://images.unsplash.com/photo-1484154218962-a197022b5858?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1505693416388-ac5ce068fe85?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1494526585095-c41746248156?auto=format&fit=crop&w=1200&q=80",staff room in Industrial Area Doha,97455512345,true
18,Quiet 1BHK Apartment,quiet-1bhk-apartment-al-thumama-doha,"Al Thumama, Doha",Near family park,4800,1BHK,This Week,Semi Furnished,Couples and Small Families,"Quiet 1BHK in a low-rise building with balcony, secure entry, and neighborhood convenience.","Balcony|Secure Entry|Split AC|Parking","https://images.unsplash.com/photo-1460317442991-0ec209397118?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1494526585095-c41746248156?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?auto=format&fit=crop&w=1200&q=80",1BHK in Al Thumama Doha,97455512345,true
19,Executive Ensuite Room,executive-ensuite-room-the-pearl-doha,"The Pearl, Doha",Near Qanat Quartier,4500,Private Room,Immediate,Fully Furnished,Executives,"Upscale ensuite room in a premium shared apartment with waterfront surroundings and modern finishes.","Ensuite Bath|Gym|Wi-Fi|Waterfront Access","https://images.unsplash.com/photo-1505693416388-ac5ce068fe85?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1460317442991-0ec209397118?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?auto=format&fit=crop&w=1200&q=80",ensuite room in The Pearl Doha,97455512345,true
20,Budget Family Apartment,budget-family-apartment-al-khor-coastal-road-doha,"Al Khor Coastal Road, Doha",Near highway connection,5400,2BHK,This Week,Semi Furnished,Families,"Value-focused family apartment with spacious bedrooms and easy highway connection toward northern areas.","Parking|Lift|Family Building|Storage","https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1494526585095-c41746248156?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1460317442991-0ec209397118?auto=format&fit=crop&w=1200&q=80",budget 2BHK in Doha,97455512345,true
21,Fully Furnished Studio,fully-furnished-studio-bin-omran-doha,"Bin Omran, Doha",Near local clinics,3600,Studio,Immediate,Fully Furnished,Professionals and Couples,"Turnkey studio with modern furniture, compact kitchen, and a central residential setting.","Furnished|Kitchenette|AC|Wi-Fi","https://images.unsplash.com/photo-1494526585095-c41746248156?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1460317442991-0ec209397118?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?auto=format&fit=crop&w=1200&q=80",studio in Bin Omran Doha,97455512345,true
22,Metro Access Private Room,metro-access-private-room-mushiereb-doha,"Mushiereb, Doha",Near Msheireb station,3000,Private Room,Immediate,Furnished,Professionals,"Private room with modern interiors and fast metro connectivity in one of Doha's most central districts.","Private Bath|Wi-Fi|Metro Access|Housekeeping","https://images.unsplash.com/photo-1505693416388-ac5ce068fe85?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1484154218962-a197022b5858?auto=format&fit=crop&w=900&q=80|https://images.unsplash.com/photo-1494526585095-c41746248156?auto=format&fit=crop&w=900&q=80",private room in Msheireb Doha,97455512345,true
23,Corniche Side Apartment,corniche-side-apartment-west-bay-doha,"West Bay, Doha",Near Corniche road,7600,2BHK,Next Month,Semi Furnished,Families and Executives,"Two-bedroom apartment with city access, sea-facing roads nearby, and a strong business district location.","Sea Access|Parking|Security|Balcony","https://images.unsplash.com/photo-1460317442991-0ec209397118?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1494526585095-c41746248156?auto=format&fit=crop&w=1200&q=80",2BHK in West Bay Doha,97455512345,true
24,Affordable Room for Bachelor,affordable-room-for-bachelor-najma-doha,"Najma, Doha",Near restaurants and stores,1700,Single Room,Immediate,Furnished,Bachelors,"Affordable bachelor room with AC, storage, and a lively neighborhood full of everyday services.","AC|Storage|Wi-Fi|Nearby Shops","https://images.unsplash.com/photo-1484154218962-a197022b5858?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1505693416388-ac5ce068fe85?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1494526585095-c41746248156?auto=format&fit=crop&w=1200&q=80",bachelor room in Najma Doha,97455512345,true
25,Ready 2BHK for Couples,ready-2bhk-for-couples-ain-khaled-doha,"Ain Khaled, Doha",Near family compounds,6100,2BHK,This Week,Semi Furnished,Couples and Families,"Ready 2BHK with practical layout, parking, and a quieter residential setting for small families.","Parking|Balcony|Lift|Family Building","https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1460317442991-0ec209397118?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1494526585095-c41746248156?auto=format&fit=crop&w=1200&q=80",2BHK in Ain Khaled Doha,97455512345,true
